代码,晨星专属号,名称,类型,股票总仓位,页码,备注
003529, 0P00018W2Q, 汇添富长添利定期开放债券C, 普通债券型基金(封闭), 0.00, 3120, li[16]
004832, 0P0001CBPL, 汇添富鑫泽定期开放债券C, 普通债券型基金(封闭), 0.00, 3150, li[16]
005214, 0P0001CLLW, 华夏鼎旺三个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3150, li[16]
005365, 0P0001D9DK, 华夏鼎顺三个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3160, li[16]
005500, 0P0001DCZC, 银华岁盈定期开放债券, 普通债券型基金(封闭), 0.00, 3170, li[16]
005792, 0P0001DKU5, 华夏鼎福三个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3190, li[16]
005858, 0P0001D51Q, 汇添富鑫成定期开放债券C, 普通债券型基金(封闭), 0.00, 3190, li[16]
005863, 0P0001EKME, 华夏鼎禄三个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3190, li[16]
005964, 0P0001D7EG, 中欧安财定期开放债券, 普通债券型基金(封闭), 0.00, 3200, li[16]
007712, 0P0001I7FR, 中银康享3个月定期开放债券, 普通债券型基金(封闭), 0.00, 3230, li[16]
008139, 0P0001J0ZR, 鑫元一年定期开放中高等级债券, 普通债券型基金(封闭), 0.00, 3230, li[16]
008289, 0P0001JOVJ, 国寿安保泰祥纯债一年定期开放债券, 普通债券型基金(封闭), 0.00, 3230, li[16]
008360, 0P0001KJ4Z, 鹏扬淳选一年定期开放债券, 普通债券型基金(封闭), 0.00, 3240, li[16]
008463, 0P0001JOVH, 招商添瑞1年定期开放债券A, 普通债券型基金(封闭), 0.00, 3240, li[16]
008464, 0P0001JOVI, 招商添瑞1年定期开放债券C, 普通债券型基金(封闭), 0.00, 3240, li[16]
008508, 0P0001JKQ4, 中融聚锦一年定期开放债券, 普通债券型基金(封闭), 0.00, 3240, li[16]
008766, 0P0001JVY7, 财通资管鸿盛12个月定期开放债券A, 普通债券型基金(封闭), 0.00, 3250, li[16]
008767, 0P0001JVY8, 财通资管鸿盛12个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3250, li[16]
008826, 0P0001K2ER, 天弘成享一年定期开放债券, 普通债券型基金(封闭), 0.00, 3250, li[16]
008925, 0P0001JV4Q, 鹏华尊达一年定期开放债券, 普通债券型基金(封闭), 0.00, 3260, li[16]
001274, 0P000187Q2, 民生加银新动力灵活配置混合D, 灵活配置型基金, 33.04, 5640, li[16]
011420, 0P0001LKWB, 广发全球科技三个月定期开放混合（QDII）人民币A, , 0.00, 2150, li[16]
011421, 0P0001LKWD, 广发全球科技三个月定期开放混合（QDII）美元A, , 0.00, 2150, li[16]
011422, 0P0001LKW8, 广发全球科技三个月定期开放混合（QDII）人民币C, , 0.00, 2150, li[16]
011423, 0P0001LKW9, 广发全球科技三个月定期开放混合（QDII）美元C, , 0.00, 2150, li[16]
970001, 0P0001LLLX, 天风证券天泽六个月定期开放债券A, 普通债券型基金(封闭), 0.00, 3280, li[16]
970002, 0P0001LLLY, 天风证券天泽六个月定期开放债券C, 普通债券型基金(封闭), 0.00, 3280, li[16]
003184, 0P0001A90J, 中证财通中国可持续发展100 (ECPI ESG) 指数增强C, 普通股票型, 94.67, 3300, li[16]
968068, 0P0001K5PY, 惠理高息股票基金 P USD Acc, 亚洲不包括日本股票, 95.10, 2180, li[16]
005658, 0P0001CNDG, 华夏沪深300ETF联接C, 普通股票型, 0.00, 3350, None
240010, F00000043F, 华宝行业精选混合, 积极配置型, 80.19, 1460, None
008719, 0P0001LJ1H, 德邦安顺混合A, 保守混合型基金, 0.00, 2350, li[16]
008720, 0P0001LJ1I, 德邦安顺混合C, 保守混合型基金, 0.00, 2350, li[16]
001774, 0P00016GLJ, 招商丰庆灵活配置混合C, 灵活配置型基金, 0.00, 5860, li[16]
009247, 0P0001KEQ1, 易方达磐恒九个月持有期混合A, 保守混合型基金, 18.40, 2400, li[16]
009248, 0P0001KEQ2, 易方达磐恒九个月持有期混合C, 保守混合型基金, 18.40, 2400, li[16]
009810, 0P0001L65F, 易方达悦通一年持有期混合A, 保守混合型基金, 0.00, 2440, li[16]
009811, 0P0001L65G, 易方达悦通一年持有期混合C, 保守混合型基金, 0.00, 2440, li[16]
009812, 0P0001KZ92, 易方达悦兴一年持有期混合A, 保守混合型基金, 0.00, 2440, li[16]
009813, 0P0001KZ93, 易方达悦兴一年持有期混合C, 保守混合型基金, 0.00, 2440, li[16]
009902, 0P0001KN1O, 易方达悦享一年持有期混合A, 保守混合型基金, 18.54, 2450, li[16]
009903, 0P0001KN1Q, 易方达悦享一年持有期混合C, 保守混合型基金, 18.54, 2450, li[16]
010222, 0P0001LI8H, 摩根士丹利华鑫民丰盈和一年持有期混合, 保守混合型基金, 0.00, 2480, li[16]
009981, 0P0001LFN3, 万家创业板指数增强A, 普通股票型, 0.00, 3740, li[16]
009982, 0P0001LFN4, 万家创业板指数增强C, 普通股票型, 0.00, 3740, li[16]
010120, 0P0001LF71, 九泰久福量化股票A, 普通股票型, 0.00, 3750, li[16]
010121, 0P0001LF72, 九泰久福量化股票C, 普通股票型, 0.00, 3750, li[16]
010253, 0P0001LJ9O, 兴银中证500指数增强A, 普通股票型, 0.00, 3770, li[16]
010322, 0P0001LLTR, 摩根士丹利华鑫新兴产业股票, 普通股票型, 0.00, 3770, li[16]
010854, 0P0001LC8R, 汇添富沪深300基本面增强指数A, 普通股票型, 0.00, 3790, li[16]
010855, 0P0001LC8S, 汇添富沪深300基本面增强指数C, 普通股票型, 0.00, 3790, li[16]
010953, 0P0001LGK3, 天弘国证A50指数A, 普通股票型, 0.00, 3800, li[16]
010954, 0P0001LGK4, 天弘国证A50指数C, 普通股票型, 0.00, 3800, li[16]
011205, 0P0001LJ9P, 兴银中证500指数增强C, 普通股票型, 0.00, 3810, li[16]
009794, 0P0001K9CN, 太平智选一年定期开放股票, 普通股票型(封闭), 85.34, 4010, li[16]
004051, 0P0001AIS0, 华夏新锦升灵活配置混合C, 灵活配置型基金, 65.19, 6410, li[16]
009677, 0P0001L3FK, 浙商智多益稳健一年持有期混合A, 沪港深保守混合型, 0.00, 4200, li[16]
009678, 0P0001L3FL, 浙商智多益稳健一年持有期混合C, 沪港深保守混合型, 0.00, 4210, li[16]
009725, 0P0001K7SS, 东方红优质甄选一年持有期混合, 沪港深保守混合型, 12.68, 4210, li[16]
009806, 0P0001KEF1, 东方红招盈甄选一年持有期混合A, 沪港深保守混合型, 12.37, 4220, li[16]
009807, 0P0001KEF2, 东方红招盈甄选一年持有期混合C, 沪港深保守混合型, 12.37, 4220, li[16]
009977, 0P0001L2WK, 银华招利一年持有期混合A, 沪港深保守混合型, 0.00, 4220, li[16]
009978, 0P0001L2WL, 银华招利一年持有期混合C, 沪港深保守混合型, 0.00, 4230, li[16]
010219, 0P0001LANH, 汇添富稳健添益一年持有期混合, 沪港深保守混合型, 0.00, 4240, li[16]
010242, 0P0001L65L, 平安稳健增长混合A, 沪港深保守混合型, 0.00, 4240, li[16]
010243, 0P0001L65M, 平安稳健增长混合C, 沪港深保守混合型, 0.00, 4240, li[16]
010404, 0P0001L8MI, 博道盛利6个月持有期混合, 沪港深保守混合型, 0.00, 4240, li[16]
010408, 0P0001L9PX, 安信浩盈6个月持有期混合, 沪港深保守混合型, 0.00, 4240, li[16]
010480, 0P0001LFTD, 汇添富稳进双盈一年持有期混合, 沪港深保守混合型, 0.00, 4240, li[16]
010683, 0P0001L9PO, 中融景颐6个月持有期混合A, 沪港深保守混合型, 0.00, 4260, li[16]
010684, 0P0001L9PP, 中融景颐6个月持有期混合C, 沪港深保守混合型, 0.00, 4260, li[16]
010688, 0P0001LDH8, 招商瑞德一年持有期混合A, 沪港深保守混合型, 0.00, 4260, li[16]
010689, 0P0001LDH9, 招商瑞德一年持有期混合C, 沪港深保守混合型, 0.00, 4260, li[16]
010707, 0P0001LFN0, 安信平稳合盈一年持有期混合A, 沪港深保守混合型, 0.00, 4260, li[16]
010708, 0P0001LFN1, 安信平稳合盈一年持有期混合C, 沪港深保守混合型, 0.00, 4260, li[16]
010725, 0P0001L3AI, 鹏华安享一年持有期混合A, 沪港深保守混合型, 0.00, 4270, li[16]
010726, 0P0001L3AJ, 鹏华安享一年持有期混合C, 沪港深保守混合型, 0.00, 4270, li[16]
010762, 0P0001L65A, 博时恒康一年持有期混合A, 沪港深保守混合型, 0.00, 4270, li[16]
010763, 0P0001L65B, 博时恒康一年持有期混合C, 沪港深保守混合型, 0.00, 4270, li[16]
010775, 0P0001L6OO, 博时恒旭一年持有期混合A, 沪港深保守混合型, 0.00, 4270, li[16]
010776, 0P0001L6OP, 博时恒旭一年持有期混合C, 沪港深保守混合型, 0.00, 4270, li[16]
010797, 0P0001LDHO, 长城优选回报六个月持有期混合A, 沪港深保守混合型, 0.00, 4270, li[16]
010798, 0P0001LDHP, 长城优选回报六个月持有期混合C, 沪港深保守混合型, 0.00, 4280, li[16]
010830, 0P0001LFTF, 国泰通利9个月持有期混合A, 沪港深保守混合型, 0.00, 4280, li[16]
010831, 0P0001LFTG, 国泰通利9个月持有期混合C, 沪港深保守混合型, 0.00, 4280, li[16]
010832, 0P0001LI8E, 国泰合益混合A, 沪港深保守混合型, 0.00, 4280, li[16]
010833, 0P0001LI8F, 国泰合益混合C, 沪港深保守混合型, 0.00, 4280, li[16]
010843, 0P0001LLTL, 富国天润回报混合A, 沪港深保守混合型, 0.00, 4280, li[16]
010844, 0P0001LLTK, 富国天润回报混合C, 沪港深保守混合型, 0.00, 4280, li[16]
010879, 0P0001L8CX, 南方宝升混合A, 沪港深保守混合型, 0.00, 4290, li[16]
010880, 0P0001L8CY, 南方宝升混合C, 沪港深保守混合型, 0.00, 4290, li[16]
010904, 0P0001L8VO, 博时双季鑫6个月持有期混合A, 沪港深保守混合型, 0.00, 4290, li[16]
010905, 0P0001L8VQ, 博时双季鑫6个月持有期混合C, 沪港深保守混合型, 0.00, 4290, li[16]
010924, 0P0001L8VP, 博时双季鑫6个月持有期混合B, 沪港深保守混合型, 0.00, 4290, li[16]
011017, 0P0001LCI7, 鹏扬景明一年持有期混合, 沪港深保守混合型, 0.00, 4300, li[16]
011044, 0P0001LDPM, 中银顺泽回报一年持有期混合A, 沪港深保守混合型, 0.00, 4300, li[16]
011045, 0P0001LDPN, 中银顺泽回报一年持有期混合C, 沪港深保守混合型, 0.00, 4300, li[16]
011052, 0P0001L4NZ, 鹏华弘裕一年持有期混合A, 沪港深保守混合型, 0.00, 4300, li[16]
011053, 0P0001L4O0, 鹏华弘裕一年持有期混合C, 沪港深保守混合型, 0.00, 4300, li[16]
011071, 0P0001L13N, 鹏华安悦一年持有期混合A, 沪港深保守混合型, 0.00, 4300, li[16]
011072, 0P0001L13O, 鹏华安悦一年持有期混合C, 沪港深保守混合型, 0.00, 4300, li[16]
011095, 0P0001LERZ, 博时恒泽混合A, 沪港深保守混合型, 0.00, 4310, li[16]
011096, 0P0001LES0, 博时恒泽混合C, 沪港深保守混合型, 0.00, 4310, li[16]
011118, 0P0001LM6W, 汇添富稳健睿选一年持有期混合A, 沪港深保守混合型, 0.00, 4310, li[16]
011119, 0P0001LM6Z, 汇添富稳健睿选一年持有期混合C, 沪港深保守混合型, 0.00, 4310, li[16]
011175, 0P0001LG30, 平安恒鑫混合A, 沪港深保守混合型, 0.00, 4310, li[16]
011176, 0P0001LG31, 平安恒鑫混合C, 沪港深保守混合型, 0.00, 4310, li[16]
011302, 0P0001LJ17, 易方达悦盈一年持有期混合A, 沪港深保守混合型, 0.00, 4310, li[16]
011303, 0P0001LJ18, 易方达悦盈一年持有期混合C, 沪港深保守混合型, 0.00, 4310, li[16]
011336, 0P0001LJ9C, 兴全汇吉一年持有期混合A, 沪港深保守混合型, 0.00, 4310, li[16]
011337, 0P0001LJ9D, 兴全汇吉一年持有期混合C, 沪港深保守混合型, 0.00, 4310, li[16]
011393, 0P0001LLIT, 中欧融益稳健一年持有期混合A, 沪港深保守混合型, 0.00, 4320, li[16]
011394, 0P0001LLIV, 中欧融益稳健一年持有期混合C, 沪港深保守混合型, 0.00, 4320, li[16]
011508, 0P0001LJPV, 易方达悦弘一年持有期混合A, 沪港深保守混合型, 0.00, 4320, li[16]
011509, 0P0001LJPW, 易方达悦弘一年持有期混合C, 沪港深保守混合型, 0.00, 4320, li[16]
011516, 0P0001LMPB, 嘉实浦盈一年持有期混合A, 沪港深保守混合型, 0.00, 4320, li[16]
011517, 0P0001LMPC, 嘉实浦盈一年持有期混合C, 沪港深保守混合型, 0.00, 4320, li[16]
011525, 0P0001LN6O, 中信保诚丰裕一年持有期混合A, 沪港深保守混合型, 0.00, 4320, li[16]
011526, 0P0001LN6N, 中信保诚丰裕一年持有期混合C, 沪港深保守混合型, 0.00, 4320, li[16]
011580, 0P0001LP0Z, 民生加银稳健配置6个月持有期混合（FOF）, 沪港深保守混合型, 0.00, 4320, li[16]
008263, 0P0001IYR0, 东方红品质优选两年定期开放混合, 沪港深保守混合型(封闭), 25.10, 4330, li[16]
008416, 0P0001IYR1, 鹏扬景瑞三年定期开放混合A, 沪港深保守混合型(封闭), 28.33, 4330, li[16]
008417, 0P0001IYR2, 鹏扬景瑞三年定期开放混合C, 沪港深保守混合型(封闭), 28.33, 4330, li[16]
009031, 0P0001JKQ8, 工银瑞信聚和一年定期开放混合A, 沪港深保守混合型(封闭), 19.94, 4330, li[16]
009032, 0P0001JKQ9, 工银瑞信聚和一年定期开放混合C, 沪港深保守混合型(封闭), 19.94, 4330, li[16]
009144, 0P0001JGSZ, 博时荣升稳健添利18个月定期开放混合A, 沪港深保守混合型(封闭), 5.25, 4330, li[16]
009145, 0P0001JGT0, 博时荣升稳健添利18个月定期开放混合C, 沪港深保守混合型(封闭), 5.25, 4340, li[16]
009691, 0P0001K9CH, 国泰浩益18个月封闭运作混合A, 沪港深保守混合型(封闭), 20.93, 4340, li[16]
009692, 0P0001K9CI, 国泰浩益18个月封闭运作混合C, 沪港深保守混合型(封闭), 20.93, 4340, li[16]
009718, 0P0001L3L9, 招商增浩一年定期开放混合A, 沪港深保守混合型(封闭), 0.00, 4340, li[16]
009719, 0P0001L3LA, 招商增浩一年定期开放混合C, 沪港深保守混合型(封闭), 0.00, 4340, li[16]
009842, 0P0001KF5S, 东方红明鉴优选两年定期开放混合, 沪港深保守混合型(封闭), 23.01, 4340, li[16]
009927, 0P0001L725, 工银瑞信聚利18个月定期开放混合A, 沪港深保守混合型(封闭), 0.00, 4340, li[16]
009928, 0P0001L726, 工银瑞信聚利18个月定期开放混合C, 沪港深保守混合型(封闭), 0.00, 4340, li[16]
010700, 0P0001LE90, 东方红锦丰优选两年定期开放混合, 沪港深保守混合型(封闭), 0.00, 4350, li[16]
169108, 0P0001JBT1, 东方红均衡优选两年定期开放混合, 沪港深保守混合型(封闭), 23.80, 4350, li[16]
005950, 0P0001DCLC, 鑫元行业轮动灵活配置混合C, 沪港深灵活配置型, 79.31, 4400, li[16]
010902, 0P0001LF6V, 博时成长领航灵活配置混合A, 沪港深灵活配置型, 0.00, 4480, li[16]
010903, 0P0001LF6W, 博时成长领航灵活配置混合C, 沪港深灵活配置型, 0.00, 4480, li[16]
011021, 0P0001LFEG, 汇添富互联网核心资产六个月持有期混合A, 沪港深灵活配置型, 0.00, 4480, li[16]
011022, 0P0001LFEH, 汇添富互联网核心资产六个月持有期混合C, 沪港深灵活配置型, 0.00, 4480, li[16]
011056, 0P0001LD48, 博时汇兴回报一年持有期灵活配置混合, 沪港深灵活配置型, 0.00, 4480, li[16]
007207, 0P0001I7G1, 华夏常阳三年定期开放混合, 沪港深灵活配置型(封闭), 79.86, 4510, li[16]
007639, 0P0001I3PR, 汇添富3年封闭运作竞争优势灵活配置混合, 沪港深灵活配置型(封闭), 68.57, 4510, li[16]
008966, 0P0001J4VX, 博时成长优选两年封闭运作灵活配置混合A, 沪港深灵活配置型(封闭), 88.65, 4510, li[16]
008967, 0P0001J4VY, 博时成长优选两年封闭运作灵活配置混合C, 沪港深灵活配置型(封闭), 88.65, 4510, li[16]
009217, 0P0001JJ2U, 博时荣丰回报三年封闭运作灵活配置混合A, 沪港深灵活配置型(封闭), 89.04, 4520, li[16]
009218, 0P0001JJ2V, 博时荣丰回报三年封闭运作灵活配置混合C, 沪港深灵活配置型(封闭), 89.04, 4520, li[16]
009715, 0P0001K69T, 汇添富策略增长两年封闭运作灵活配置混合, 沪港深灵活配置型(封闭), 90.22, 4520, li[16]
970015, 0P0001LM7F, 申万宏源红利成长灵活配置混合, 灵活配置型基金, 0.00, 6990, li[16]
007501, 0P0001IF4Z, 万家科创主题3年封闭运作灵活配置混合C, 灵活配置型基金(封闭), 78.84, 7030, li[16]
008890, 0P0001K18K, 中邮价值优选一年定期开放灵活配置混合, 灵活配置型基金(封闭), 89.45, 7040, li[16]
009048, 0P0001JET9, 浦银安盛科技创新优选三年封闭运作灵活配置混合, 灵活配置型基金(封闭), 41.48, 7040, li[16]
009595, 0P0001K0AL, 山西证券裕盛一年定期开放灵活配置混合, 灵活配置型基金(封闭), 93.91, 7040, li[16]
010130, 0P0001KOAP, 海富通惠增多策略一年定期开放灵活配置混合A, 灵活配置型基金(封闭), 24.81, 7040, li[16]
010131, 0P0001KOAQ, 海富通惠增多策略一年定期开放灵活配置混合C, 灵活配置型基金(封闭), 24.81, 7040, li[16]
008480, 0P0001JC4Z, 永赢股息优选混合A, 沪港深积极配置型, 93.91, 4810, None
008481, 0P0001JC50, 永赢股息优选混合C, 沪港深积极配置型, 93.91, 4810, None
009342, 0P0001JV4P, 易方达优质企业三年持有期混合, 沪港深积极配置型, 94.64, 4900, li[16]
009859, 0P0001L5TN, 银华乐享混合, 沪港深积极配置型, 0.00, 4950, li[16]
007315, 0P0001L9PQ, 汇安嘉盈一年持有期债券A, 积极债券型, 0.00, 7300, li[16]
010041, 0P0001LFER, 嘉实港股优势混合A, 沪港深积极配置型, 0.00, 4990, li[16]
010042, 0P0001LFES, 嘉实港股优势混合C, 沪港深积极配置型, 0.00, 4990, li[16]
009465, 0P0001LL7B, 东方可转债债券A, 积极债券型, 0.00, 7350, li[16]
009466, 0P0001LL7A, 东方可转债债券C, 积极债券型, 0.00, 7350, li[16]
009943, 0P0001LDHB, 浦银安盛稳健丰利债券A, 积极债券型, 0.00, 7360, li[16]
009944, 0P0001LDHC, 浦银安盛稳健丰利债券C, 积极债券型, 0.00, 7370, li[16]
010270, 0P0001L9PR, 汇安嘉盈一年持有期债券C, 积极债券型, 0.00, 7380, li[16]
010473, 0P0001LDPU, 华富安华债券A, 积极债券型, 0.00, 7390, li[16]
010474, 0P0001LDPV, 华富安华债券C, 积极债券型, 0.00, 7390, li[16]
010475, 0P0001LFEI, 上投摩根安享回报一年持有期债券, 积极债券型, 0.00, 7390, li[16]
010619, 0P0001LEKC, 华安添利6个月持有期债券A, 积极债券型, 0.00, 7390, li[16]
010620, 0P0001LEKD, 华安添利6个月持有期债券C, 积极债券型, 0.00, 7390, li[16]
010651, 0P0001L7ZV, 平安双季增享6个月持有期债券A, 积极债券型, 0.00, 7390, li[16]
010652, 0P0001L7ZW, 平安双季增享6个月持有期债券C, 积极债券型, 0.00, 7400, li[16]
010803, 0P0001LF73, 天弘庆享债券A, 积极债券型, 0.00, 7400, li[16]
010804, 0P0001LF74, 天弘庆享债券C, 积极债券型, 0.00, 7400, li[16]
010899, 0P0001LCTL, 上银慧恒收益增强债券, 积极债券型, 0.00, 7400, li[16]
011168, 0P0001LGU5, 嘉实睿享安久双利18个月持有期债券, 积极债券型, 0.00, 7400, li[16]
952020, 0P0001LLTN, 国君资管君得盈债券A, 积极债券型, 0.00, 7410, li[16]
952320, 0P0001LLTM, 国君资管君得盈债券C, 积极债券型, 0.00, 7410, li[16]
008743, 0P0001JAAS, 南方集利18个月定期开放债券A, 积极债券型(封闭), 8.36, 7440, li[16]
008744, 0P0001JAAT, 南方集利18个月定期开放债券C, 积极债券型(封闭), 8.36, 7440, li[16]
009158, 0P0001JS1A, 中金衡利1年定期开放债券, 积极债券型(封闭), 11.13, 7440, li[16]
010493, 0P0001L1LX, 中航瑞昱一年定期开放债券A, 积极债券型(封闭), 0.00, 7450, li[16]
010494, 0P0001L1LY, 中航瑞昱一年定期开放债券C, 积极债券型(封闭), 0.00, 7450, li[16]
